county,status,error_description
Sarasota,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:875664324, pin:0054150052. Empty value in column 'legal_full' for parcel ogc_fid:875617041, pin:0105049034. Empty value in column 'legal_full' for parcel ogc_fid:875633461, pin:2014050049. Empty value in column 'legal_full' for parcel ogc_fid:875615327, pin:0494100019. Empty value in column 'legal_full' for parcel ogc_fid:875656435, pin:2039110036. Empty value in column 'legal_full' for parcel ogc_fid:875711377, pin:0983046530. Empty value in column 'legal_full' for parcel ogc_fid:875653688, pin:0054150053. Empty value in column 'legal_full' for parcel ogc_fid:875584618, pin:2025100006. Empty value in column 'legal_full' for parcel ogc_fid:875867402, pin:2022011125. Empty value in column 'legal_full' for parcel ogc_fid:875819611, pin:0106032014"
Manatee,Failure,"Empty value in column 'mrkt_tot' for parcel ogc_fid:875969005, pin:576180759. Empty value in column 'legal_full' for parcel ogc_fid:875969005, pin:576180759. Empty value in column 'legal_full' for parcel ogc_fid:876020060, pin:576163409. Empty value in column 'legal_full' for parcel ogc_fid:875954546, pin:1846903759. No value in any of the specified square footage fields for parcel ogc_fid:875954969, pin:580107009. Empty value in column 'legal_full' for parcel ogc_fid:875954648, pin:581230909. Empty value in column 'legal_full' for parcel ogc_fid:875997367, pin:6154600008. No value in any of the specified square footage fields for parcel ogc_fid:875969005, pin:576180759. Empty value in column 'legal_full' for parcel ogc_fid:875909794, pin:7623700007. Empty value in column 'legal_full' for parcel ogc_fid:875977903, pin:581554659. Empty value in column 'legal_full' for parcel ogc_fid:875954969, pin:580107009. Empty value in column 'legal_full' for parcel ogc_fid:876025582, pin:3655400004. No value in any of the specified square footage fields for parcel ogc_fid:876020060, pin:576163409. Empty value in column 'legal_full' for parcel ogc_fid:876056758, pin:1983400001. Empty value in column 'assd_tot' for parcel ogc_fid:875969005, pin:576180759"
Osceola,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:889821139, pin:35-25-27-4838-0001-0440. Empty value in column 'legal_full' for parcel ogc_fid:889826031, pin:28-25-29-3030-0012-0050. Empty value in column 'legal_full' for parcel ogc_fid:889935905, pin:07-25-30-2677-0061-0120. Empty value in column 'legal_full' for parcel ogc_fid:889947340, pin:18-25-27-5590-0001-1940. Empty value in column 'legal_full' for parcel ogc_fid:889827847, pin:07-25-30-2708-0219-0170. Empty value in column 'legal_full' for parcel ogc_fid:889882873, pin:12-25-28-5409-0001-2920. Empty value in column 'legal_full' for parcel ogc_fid:889913494, pin:31-25-27-5134-000H-0940. Empty value in column 'legal_full' for parcel ogc_fid:889995118, pin:01-26-30-0001-0315-0080. Empty value in column 'legal_full' for parcel ogc_fid:890013278, pin:27-25-27-5736-0001-0860. Empty value in column 'legal_full' for parcel ogc_fid:889867344, pin:27-25-27-3087-000A-402N"
Lake,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:883864441, pin:31-21-24-0004-000-01700. Empty value in column 'legal_full' for parcel ogc_fid:883899689, pin:32-21-24-0003-000-02200. No value in any of the specified square footage fields for parcel ogc_fid:883968489, pin:06-22-24-0001-000-00100. Empty value in column 'legal_full' for parcel ogc_fid:883971343, pin:31-21-24-0001-000-00700. No value in any of the specified square footage fields for parcel ogc_fid:884000778, pin:05-22-24-0002-000-00500. Empty value in column 'legal_full' for parcel ogc_fid:883877011, pin:11-19-26-0100-146-00509. Empty value in column 'legal_full' for parcel ogc_fid:883889601, pin:32-21-24-0002-000-02400. Empty value in column 'legal_full' for parcel ogc_fid:883862163, pin:15-19-26-0012-000-10100. Empty value in column 'legal_full' for parcel ogc_fid:883968489, pin:06-22-24-0001-000-00100. Empty value in column 'legal_full' for parcel ogc_fid:884000778, pin:05-22-24-0002-000-00500. No value in any of the specified square footage fields for parcel ogc_fid:883899689, pin:32-21-24-0003-000-02200. No value in any of the specified square footage fields for parcel ogc_fid:883889601, pin:32-21-24-0002-000-02400. Empty value in column 'legal_full' for parcel ogc_fid:883875935, pin:13-20-25-1810-000-39000. Empty value in column 'legal_full' for parcel ogc_fid:883970189, pin:25-18-26-0500-000-13000. No value in any of the specified square footage fields for parcel ogc_fid:883971343, pin:31-21-24-0001-000-00700. Empty value in column 'legal_full' for parcel ogc_fid:883864441, pin:31-21-24-0004-000-01700"
Marion,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:886738738, pin:9018-0291-07. No value in any of the specified square footage fields for parcel ogc_fid:886628727, pin:3546-502-135. Empty value in column 'legal_full' for parcel ogc_fid:886575518, pin:28332-001-03. Empty value in column 'legal_full' for parcel ogc_fid:886488581, pin:06100-005-03. Empty value in column 'legal_full' for parcel ogc_fid:886628727, pin:3546-502-135. Empty value in column 'legal_full' for parcel ogc_fid:886575974, pin:2839-002-000. Empty value in column 'legal_full' for parcel ogc_fid:886556015, pin:2307-108-001. Empty value in column 'legal_full' for parcel ogc_fid:886714010, pin:8004-0528-07. Empty value in column 'legal_full' for parcel ogc_fid:886646175, pin:3706-007-008. Empty value in column 'legal_full' for parcel ogc_fid:886738738, pin:9018-0291-07. Empty value in column 'legal_full' for parcel ogc_fid:886628688, pin:3546-502-096. Empty value in column 'legal_full' for parcel ogc_fid:886531280, pin:1807-016-026. No value in any of the specified square footage fields for parcel ogc_fid:886714010, pin:8004-0528-07. No value in any of the specified square footage fields for parcel ogc_fid:886531280, pin:1807-016-026. No value in any of the specified square footage fields for parcel ogc_fid:886628688, pin:3546-502-096"
Collier,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:872919997, pin:60782120002. Empty value in column 's_address' for parcel ogc_fid:872919997, pin:60782120002. No value in any of the specified square footage fields for parcel ogc_fid:872772827, pin:00077040006"
St. Lucie,Failure,"Empty value in column 's_city' for parcel ogc_fid:876135887, pin:4502-501-1318-000-0. No value in any of the specified square footage fields for parcel ogc_fid:876195182, pin:2416-504-0233-000-2. Empty value in column 's_city' for parcel ogc_fid:876162381, pin:1414-701-0198-000-0. No value in any of the specified square footage fields for parcel ogc_fid:876150578, pin:2416-603-0005-000-9"
Escambia,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:884238115, pin:092S300550000026. Empty value in column 'legal_full' for parcel ogc_fid:884163347, pin:092S300550000021. Empty value in column 'legal_full' for parcel ogc_fid:884150657, pin:092S300550000027. Empty value in column 'legal_full' for parcel ogc_fid:884148373, pin:000S009025011206. Empty value in column 'legal_full' for parcel ogc_fid:884132275, pin:092S300550000025. Empty value in column 'legal_full' for parcel ogc_fid:884150286, pin:092S300550000022. Empty value in column 'legal_full' for parcel ogc_fid:884249511, pin:092S300550000042. Empty value in column 'legal_full' for parcel ogc_fid:884212167, pin:092S300550000030. Empty value in column 'legal_full' for parcel ogc_fid:884149927, pin:092S300550000029. Empty value in column 'legal_full' for parcel ogc_fid:884262083, pin:092S300550000028"
Leon,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:884129988, pin:110916  A0013. Empty value in column 's_city' for parcel ogc_fid:884039091, pin:2133204080000. Empty value in column 's_city' for parcel ogc_fid:884086421, pin:212543  A0241. Empty value in column 's_city' for parcel ogc_fid:884019477, pin:3104202210000. Empty value in column 's_city' for parcel ogc_fid:884089988, pin:410330  B0090. Empty value in column 's_city' for parcel ogc_fid:884129988, pin:110916  A0013. Empty value in column 's_city' for parcel ogc_fid:884043788, pin:2127204490020. Empty value in column 'o_zipcode' for parcel ogc_fid:884129988, pin:110916  A0013. Empty value in column 's_city' for parcel ogc_fid:884046422, pin:3109050000150. Empty value in column 'legal_full' for parcel ogc_fid:884039091, pin:2133204080000. Empty value in column 's_city' for parcel ogc_fid:884032541, pin:140350 AL0050. Empty value in column 'legal_full' for parcel ogc_fid:884079140, pin:1133100000130. Empty value in column 'legal_full' for parcel ogc_fid:884086421, pin:212543  A0241. Empty value in column 's_city' for parcel ogc_fid:884079140, pin:1133100000130. Empty value in column 'legal_full' for parcel ogc_fid:884032541, pin:140350 AL0050. Empty value in column 'legal_full' for parcel ogc_fid:884043788, pin:2127204490020. Empty value in column 'legal_full' for parcel ogc_fid:884089988, pin:410330  B0090. Empty value in column 'legal_full' for parcel ogc_fid:884088242, pin:140535  A0020. Empty value in column 'legal_full' for parcel ogc_fid:884046422, pin:3109050000150. Empty value in column 's_city' for parcel ogc_fid:884088242, pin:140535  A0020. Empty value in column 'legal_full' for parcel ogc_fid:884019477, pin:3104202210000"
Alachua,Failure,"Empty value in column 's_zipcode' for parcel ogc_fid:884299705, pin:07102-000-000. Empty value in column 's_address' for parcel ogc_fid:884400113, pin:15691-001-000. Empty value in column 's_city' for parcel ogc_fid:884299705, pin:07102-000-000. No value in any of the specified square footage fields for parcel ogc_fid:884299705, pin:07102-000-000. No value in any of the specified square footage fields for parcel ogc_fid:884326359, pin:03067-010-012. Empty value in column 's_city' for parcel ogc_fid:884326359, pin:03067-010-012. No value in any of the specified square footage fields for parcel ogc_fid:884400113, pin:15691-001-000. Empty value in column 's_zipcode' for parcel ogc_fid:884326359, pin:03067-010-012. Empty value in column 's_zipcode' for parcel ogc_fid:884328872, pin:03067-010-018. Empty value in column 's_city' for parcel ogc_fid:884400113, pin:15691-001-000. Empty value in column 's_address' for parcel ogc_fid:884299705, pin:07102-000-000. No value in any of the specified square footage fields for parcel ogc_fid:884328872, pin:03067-010-018. Empty value in column 's_address' for parcel ogc_fid:884326359, pin:03067-010-012. Empty value in column 's_city' for parcel ogc_fid:884328872, pin:03067-010-018. Empty value in column 's_zipcode' for parcel ogc_fid:884400113, pin:15691-001-000. Empty value in column 's_address' for parcel ogc_fid:884328872, pin:03067-010-018"
St. Johns,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:876396679, pin:0671000040. Empty value in column 'legal_full' for parcel ogc_fid:876361893, pin:0620871110. Empty value in column 'legal_full' for parcel ogc_fid:876334634, pin:2201000000. Empty value in column 'legal_full' for parcel ogc_fid:876333734, pin:1491910325. Empty value in column 'legal_full' for parcel ogc_fid:876279470, pin:2126700000. Empty value in column 'legal_full' for parcel ogc_fid:876278502, pin:1630300021. Empty value in column 'legal_full' for parcel ogc_fid:876298684, pin:2023000000. Empty value in column 'legal_full' for parcel ogc_fid:876377121, pin:0091900000. Empty value in column 'legal_full' for parcel ogc_fid:876358740, pin:0506201727. Empty value in column 'legal_full' for parcel ogc_fid:876272929, pin:0283322480"
Clay,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:876523921, pin:14-08-23-001437-695-00. No value in any of the specified square footage fields for parcel ogc_fid:876452073, pin:14-08-23-001437-706-00. No value in any of the specified square footage fields for parcel ogc_fid:876499115, pin:15-06-23-021646-002-49"
Okaloosa,Failure,Could not retrieve most recent record from API.
Hernando,Success,
Bay,Failure,"Empty value in column 'o_city' for parcel ogc_fid:894303842, pin:00047-031-000. Empty value in column 'legal_full' for parcel ogc_fid:894303842, pin:00047-031-000. Empty value in column 'legal_full' for parcel ogc_fid:894304120, pin:00215-000-000. Empty value in column 'o_city' for parcel ogc_fid:894304035, pin:00187-140-000. Empty value in column 'o_address1' for parcel ogc_fid:894304544, pin:00493-000-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894303748, pin:00001-010-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894304294, pin:00333-000-000. Empty value in column 'legal_full' for parcel ogc_fid:894304343, pin:00368-000-000. Empty value in column 'legal_full' for parcel ogc_fid:894303748, pin:00001-010-000. Empty value in column 'o_address1' for parcel ogc_fid:894303748, pin:00001-010-000. Empty value in column 'legal_full' for parcel ogc_fid:894304294, pin:00333-000-000. No value in any of the specified square footage fields for parcel ogc_fid:894303829, pin:00047-009-170. Empty value in column 'o_address1' for parcel ogc_fid:894304120, pin:00215-000-000. Empty value in column 'o_address1' for parcel ogc_fid:894303829, pin:00047-009-170. Empty value in column 'o_zipcode' for parcel ogc_fid:894304120, pin:00215-000-000. Empty value in column 'o_city' for parcel ogc_fid:894304294, pin:00333-000-000. Empty value in column 'o_city' for parcel ogc_fid:894304343, pin:00368-000-000. Empty value in column 'o_city' for parcel ogc_fid:894304544, pin:00493-000-000. No value in any of the specified square footage fields for parcel ogc_fid:894303870, pin:00059-000-000. Empty value in column 'legal_full' for parcel ogc_fid:894304544, pin:00493-000-000. Empty value in column 'o_address1' for parcel ogc_fid:894304035, pin:00187-140-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894304035, pin:00187-140-000. Empty value in column 'o_city' for parcel ogc_fid:894303829, pin:00047-009-170. No value in any of the specified square footage fields for parcel ogc_fid:894304343, pin:00368-000-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894304343, pin:00368-000-000. No value in any of the specified square footage fields for parcel ogc_fid:894303842, pin:00047-031-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894303842, pin:00047-031-000. Empty value in column 'o_address1' for parcel ogc_fid:894304294, pin:00333-000-000. Empty value in column 'o_address1' for parcel ogc_fid:894303870, pin:00059-000-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894304515, pin:00474-000-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894304544, pin:00493-000-000. Empty value in column 'o_city' for parcel ogc_fid:894303870, pin:00059-000-000. No value in any of the specified square footage fields for parcel ogc_fid:894304120, pin:00215-000-000. Empty value in column 'o_address1' for parcel ogc_fid:894303842, pin:00047-031-000. Empty value in column 'o_address1' for parcel ogc_fid:894304343, pin:00368-000-000. Empty value in column 'o_city' for parcel ogc_fid:894304515, pin:00474-000-000. Empty value in column 'legal_full' for parcel ogc_fid:894303870, pin:00059-000-000. Empty value in column 'legal_full' for parcel ogc_fid:894304515, pin:00474-000-000. No value in any of the specified square footage fields for parcel ogc_fid:894304544, pin:00493-000-000. Empty value in column 'o_address1' for parcel ogc_fid:894304515, pin:00474-000-000. Empty value in column 'o_city' for parcel ogc_fid:894304120, pin:00215-000-000. Empty value in column 'legal_full' for parcel ogc_fid:894304035, pin:00187-140-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894303870, pin:00059-000-000. Empty value in column 'o_zipcode' for parcel ogc_fid:894303829, pin:00047-009-170. Empty value in column 'o_city' for parcel ogc_fid:894303748, pin:00001-010-000. Empty value in column 'legal_full' for parcel ogc_fid:894303829, pin:00047-009-170"
Santa Rosa,Failure,"Empty value in column 's_zipcode' for parcel ogc_fid:894681193, pin:16-1N-28-3419-00K00-0400. Empty value in column 'o_zipcode' for parcel ogc_fid:894739879, pin:33-2N-28-2295-00A00-0070. No value in any of the specified square footage fields for parcel ogc_fid:894691329, pin:18-2S-26-1920-10200-0120. Empty value in column 'o_zipcode' for parcel ogc_fid:894681146, pin:16-1N-28-3419-00J00-0170. Empty value in column 'o_zipcode' for parcel ogc_fid:894681145, pin:16-1N-28-3419-00J00-0160. Empty value in column 'o_zipcode' for parcel ogc_fid:894739895, pin:33-2N-28-2295-00C00-0130. Empty value in column 's_zipcode' for parcel ogc_fid:894739895, pin:33-2N-28-2295-00C00-0130. Empty value in column 'o_zipcode' for parcel ogc_fid:894691329, pin:18-2S-26-1920-10200-0120. Empty value in column 's_city' for parcel ogc_fid:894681146, pin:16-1N-28-3419-00J00-0170. Empty value in column 's_city' for parcel ogc_fid:894681193, pin:16-1N-28-3419-00K00-0400. Empty value in column 'o_city' for parcel ogc_fid:894681145, pin:16-1N-28-3419-00J00-0160. No value in any of the specified square footage fields for parcel ogc_fid:894739895, pin:33-2N-28-2295-00C00-0130. Empty value in column 's_zipcode' for parcel ogc_fid:894681146, pin:16-1N-28-3419-00J00-0170. Empty value in column 's_city' for parcel ogc_fid:894643958, pin:01-1N-28-1941-00A00-0110. Empty value in column 's_zipcode' for parcel ogc_fid:894643958, pin:01-1N-28-1941-00A00-0110. Empty value in column 'o_city' for parcel ogc_fid:894660059, pin:07-1N-29-2142-00D00-0280. Empty value in column 's_zipcode' for parcel ogc_fid:894726909, pin:29-2N-26-0000-00220-0000. Empty value in column 'o_city' for parcel ogc_fid:894643958, pin:01-1N-28-1941-00A00-0110. Empty value in column 's_zipcode' for parcel ogc_fid:894681145, pin:16-1N-28-3419-00J00-0160. Empty value in column 'o_zipcode' for parcel ogc_fid:894726909, pin:29-2N-26-0000-00220-0000. No value in any of the specified square footage fields for parcel ogc_fid:894643958, pin:01-1N-28-1941-00A00-0110. Empty value in column 's_city' for parcel ogc_fid:894681145, pin:16-1N-28-3419-00J00-0160. No value in any of the specified square footage fields for parcel ogc_fid:894681145, pin:16-1N-28-3419-00J00-0160. No value in any of the specified square footage fields for parcel ogc_fid:894676329, pin:14-2S-26-0769-00000-0400. Empty value in column 's_zipcode' for parcel ogc_fid:894739879, pin:33-2N-28-2295-00A00-0070. Empty value in column 'o_city' for parcel ogc_fid:894739895, pin:33-2N-28-2295-00C00-0130. Empty value in column 's_zipcode' for parcel ogc_fid:894691329, pin:18-2S-26-1920-10200-0120. Empty value in column 'o_city' for parcel ogc_fid:894681146, pin:16-1N-28-3419-00J00-0170. Empty value in column 'o_city' for parcel ogc_fid:894739879, pin:33-2N-28-2295-00A00-0070. Empty value in column 'o_zipcode' for parcel ogc_fid:894660059, pin:07-1N-29-2142-00D00-0280. Empty value in column 'o_zipcode' for parcel ogc_fid:894681193, pin:16-1N-28-3419-00K00-0400. Empty value in column 'o_city' for parcel ogc_fid:894681193, pin:16-1N-28-3419-00K00-0400. No value in any of the specified square footage fields for parcel ogc_fid:894681193, pin:16-1N-28-3419-00K00-0400. Empty value in column 'o_city' for parcel ogc_fid:894676329, pin:14-2S-26-0769-00000-0400. Empty value in column 'o_zipcode' for parcel ogc_fid:894676329, pin:14-2S-26-0769-00000-0400. No value in any of the specified square footage fields for parcel ogc_fid:894726909, pin:29-2N-26-0000-00220-0000. Empty value in column 's_zipcode' for parcel ogc_fid:894660059, pin:07-1N-29-2142-00D00-0280. Empty value in column 'o_zipcode' for parcel ogc_fid:894643958, pin:01-1N-28-1941-00A00-0110. No value in any of the specified square footage fields for parcel ogc_fid:894739879, pin:33-2N-28-2295-00A00-0070. Empty value in column 'o_city' for parcel ogc_fid:894691329, pin:18-2S-26-1920-10200-0120. No value in any of the specified square footage fields for parcel ogc_fid:894681146, pin:16-1N-28-3419-00J00-0170. Empty value in column 'o_city' for parcel ogc_fid:894726909, pin:29-2N-26-0000-00220-0000. Empty value in column 's_city' for parcel ogc_fid:894660059, pin:07-1N-29-2142-00D00-0280"
Charlotte,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:890186889, pin:422317814047. Empty value in column 'legal_full' for parcel ogc_fid:890240277, pin:412211377005. Empty value in column 's_city' for parcel ogc_fid:890186889, pin:422317814047. Empty value in column 'legal_full' for parcel ogc_fid:890160522, pin:402219104009. Empty value in column 'legal_full' for parcel ogc_fid:890094305, pin:412017101004. Empty value in column 'legal_full' for parcel ogc_fid:890127139, pin:412017101002. Empty value in column 'legal_full' for parcel ogc_fid:890019788, pin:412017135008. Empty value in column 'legal_full' for parcel ogc_fid:890193415, pin:402229404002. Empty value in column 's_city' for parcel ogc_fid:890127139, pin:412017101002. Empty value in column 's_city' for parcel ogc_fid:890019788, pin:412017135008. Empty value in column 'legal_full' for parcel ogc_fid:890181864, pin:402224430012. Empty value in column 'legal_full' for parcel ogc_fid:890081538, pin:402132479022. Empty value in column 's_city' for parcel ogc_fid:890081538, pin:402132479022. Empty value in column 's_city' for parcel ogc_fid:890094305, pin:412017101004. Empty value in column 'legal_full' for parcel ogc_fid:890105921, pin:412211453002. Empty value in column 's_city' for parcel ogc_fid:890181864, pin:402224430012. Empty value in column 's_city' for parcel ogc_fid:890105921, pin:412211453002. Empty value in column 's_city' for parcel ogc_fid:890193415, pin:402229404002. Empty value in column 's_city' for parcel ogc_fid:890240277, pin:412211377005. Empty value in column 's_city' for parcel ogc_fid:890160522, pin:402219104009"
Martin,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:894606643, pin:30-37-41-011-029-00190-9. Empty value in column 'legal_full' for parcel ogc_fid:894625954, pin:36-38-41-006-005-01020-0. Empty value in column 'legal_full' for parcel ogc_fid:894563899, pin:09-38-41-006-006-00210-2. Empty value in column 'legal_full' for parcel ogc_fid:894586092, pin:18-39-41-000-005-00050-2. Empty value in column 'legal_full' for parcel ogc_fid:894550620, pin:02-38-41-011-128-00080-9. No value in any of the specified square footage fields for parcel ogc_fid:894563899, pin:09-38-41-006-006-00210-2. Empty value in column 'legal_full' for parcel ogc_fid:894606171, pin:30-37-41-004-000-00450-0. Empty value in column 'legal_full' for parcel ogc_fid:894596592, pin:24-38-40-000-017-00020-6. Empty value in column 'legal_full' for parcel ogc_fid:894627841, pin:37-38-41-007-500-00630-6. Empty value in column 'legal_full' for parcel ogc_fid:894610320, pin:31-37-42-007-003-02010-0. Empty value in column 'legal_full' for parcel ogc_fid:894577926, pin:14-37-41-003-000-00630-2"
Indian River,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:894793893, pin:32392800012000000006.0. No value in any of the specified square footage fields for parcel ogc_fid:894776396, pin:31391900001462000023.0"
